task_id,id,createtime,creater,owner_id,pet_id,name,hospital_id,hospital_code,hospital_name
,107,2019-04-09 08:37:07,,4055,3943,基础免疫三免-基础免疫三免-,1,nsxzcqk3Db,佳信动物医院
,192,2019-03-19 08:37:07,,4055,3943,基础免疫二免-基础免疫二免-瑞比克狂犬,1,nsxzcqk3Db,佳信动物医院
,252,2019-04-16 08:37:07,,4055,3943,基础免疫狂犬-基础免疫狂犬-,1,nsxzcqk3Db,佳信动物医院
,258,2019-02-26 08:37:07,,4055,3943,基础免疫首免-基础免疫首免-卫佳伍,1,nsxzcqk3Db,佳信动物医院
,16,2019-06-21 17:17:12,,3961,973,基础免疫狂犬-基础免疫狂犬-,1,nsxzcqk3Db,佳信动物医院
,24,2019-06-14 17:17:12,,3961,973,基础免疫三免-基础免疫三免-,1,nsxzcqk3Db,佳信动物医院
,35,2019-05-24 17:17:12,,3961,973,基础免疫二免-基础免疫二免-瑞比克狂犬,1,nsxzcqk3Db,佳信动物医院
,406,2019-05-03 17:17:12,,3961,973,基础免疫首免-基础免疫首免-卫佳伍,1,nsxzcqk3Db,佳信动物医院
,50,2020-09-24 10:49:46,,3259,3790,基础免疫狂犬-基础免疫狂犬-,1,nsxzcqk3Db,佳信动物医院
,57,2020-08-06 10:49:46,,3259,3790,基础免疫首免-基础免疫首免-卫佳伍,1,nsxzcqk3Db,佳信动物医院
,91,2020-08-27 10:49:46,,3259,3790,基础免疫二免-基础免疫二免-瑞比克狂犬,1,nsxzcqk3Db,佳信动物医院
,164,2020-09-17 10:49:46,,3259,3790,基础免疫三免-基础免疫三免-,1,nsxzcqk3Db,佳信动物医院
,33,2019-11-19 11:19:46,,2731,30,基础免疫狂犬-基础免疫狂犬-,1,nsxzcqk3Db,佳信动物医院
,224,2019-09-17 11:19:46,,2731,30,基础免疫首免-基础免疫首免-血常规,1,nsxzcqk3Db,佳信动物医院
,593,2019-11-12 11:19:46,,2731,30,基础免疫三免-基础免疫三免-,1,nsxzcqk3Db,佳信动物医院
,597,2019-10-15 11:19:46,,2731,30,基础免疫二免-基础免疫二免-X光检查（大片）,1,nsxzcqk3Db,佳信动物医院
,313,2019-10-17 11:09:00,,2484,379,基础免疫首免-基础免疫首免-卫佳捌,1,nsxzcqk3Db,佳信动物医院
,325,2019-12-05 11:09:00,,2484,379,基础免疫狂犬-基础免疫狂犬-,1,nsxzcqk3Db,佳信动物医院
,335,2019-11-28 11:09:00,,2484,379,基础免疫三免-基础免疫三免-,1,nsxzcqk3Db,佳信动物医院
,395,2019-11-07 11:09:00,,2484,379,基础免疫二免-基础免疫二免-瑞比克狂犬,1,nsxzcqk3Db,佳信动物医院
,222,2019-10-28 14:46:35,,2059,438,基础免疫二免-基础免疫二免-,1,nsxzcqk3Db,佳信动物医院
,223,2019-11-25 14:46:35,,2059,438,基础免疫狂犬-基础免疫狂犬-,1,nsxzcqk3Db,佳信动物医院
,262,2019-11-18 14:46:35,,2059,438,基础免疫三免-基础免疫三免-,1,nsxzcqk3Db,佳信动物医院
,511,2019-10-07 14:46:35,,2059,438,基础免疫首免-基础免疫首免-,1,nsxzcqk3Db,佳信动物医院
,267,2019-05-11 15:56:30,,1958,1047,基础免疫首免-基础免疫首免-卫佳伍,1,nsxzcqk3Db,佳信动物医院
,411,2019-06-22 15:56:30,,1958,1047,基础免疫三免-基础免疫三免-,1,nsxzcqk3Db,佳信动物医院
,459,2019-06-29 15:56:30,,1958,1047,基础免疫狂犬-基础免疫狂犬-,1,nsxzcqk3Db,佳信动物医院
,519,2019-06-01 15:56:30,,1958,1047,基础免疫二免-基础免疫二免-瑞比克狂犬,1,nsxzcqk3Db,佳信动物医院
,178,2019-04-20 11:39:54,,1442,1139,"基础免疫狂犬-基础免疫狂犬-瑞比克狂犬,瑞比克狂犬",1,nsxzcqk3Db,佳信动物医院
,242,2019-04-13 11:39:54,,1442,1139,"基础免疫三免-基础免疫三免-妙三多疫苗,卫佳伍",1,nsxzcqk3Db,佳信动物医院
,376,2019-03-02 11:39:54,,1442,1139,"基础免疫首免-基础免疫首免-妙三多疫苗,卫佳伍",1,nsxzcqk3Db,佳信动物医院
,562,2019-03-23 11:39:54,,1442,1139,"基础免疫二免-基础免疫二免-妙三多疫苗,卫佳伍",1,nsxzcqk3Db,佳信动物医院
,245,2019-02-03 12:45:59,,1320,148,基础免疫狂犬-基础免疫狂犬-,1,nsxzcqk3Db,佳信动物医院
,408,2019-01-06 12:45:59,,1320,148,基础免疫二免-基础免疫二免-,1,nsxzcqk3Db,佳信动物医院
,481,2019-01-27 12:45:59,,1320,148,基础免疫三免-基础免疫三免-,1,nsxzcqk3Db,佳信动物医院
,20,2019-08-04 08:08:02,,1257,777,基础免疫二免-基础免疫二免-瑞比克狂犬,1,nsxzcqk3Db,佳信动物医院
,207,2019-09-01 08:08:02,,1257,777,基础免疫三免-基础免疫三免-,1,nsxzcqk3Db,佳信动物医院
,320,2019-07-07 08:08:02,,1257,777,基础免疫首免-基础免疫首免-妙三多疫苗,1,nsxzcqk3Db,佳信动物医院
,439,2019-09-08 08:08:02,,1257,777,基础免疫狂犬-基础免疫狂犬-,1,nsxzcqk3Db,佳信动物医院
,34,2019-01-22 10:29:38,,1252,2043,基础免疫三免-基础免疫三免-,1,nsxzcqk3Db,佳信动物医院
,290,2019-01-01 10:29:38,,1252,2043,基础免疫二免-基础免疫二免-狂犬疫苗,1,nsxzcqk3Db,佳信动物医院
,558,2019-01-29 10:29:38,,1252,2043,基础免疫狂犬-基础免疫狂犬-,1,nsxzcqk3Db,佳信动物医院
,82,2019-02-17 09:06:58,,1210,2159,基础免疫首免-基础免疫首免-卫佳捌,1,nsxzcqk3Db,佳信动物医院
,202,2019-03-10 09:06:58,,1210,2159,基础免疫二免-基础免疫二免-瑞比克狂犬,1,nsxzcqk3Db,佳信动物医院
,254,2019-03-31 09:06:58,,1210,2159,基础免疫三免-基础免疫三免-,1,nsxzcqk3Db,佳信动物医院
,355,2019-04-07 09:06:58,,1210,2159,基础免疫狂犬-基础免疫狂犬-,1,nsxzcqk3Db,佳信动物医院
,472,2019-01-06 13:38:20,,809,983,基础免疫三免-基础免疫三免-,1,nsxzcqk3Db,佳信动物医院
,551,2019-01-13 13:38:20,,809,983,基础免疫狂犬-基础免疫狂犬-,1,nsxzcqk3Db,佳信动物医院
